  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  
[DIV2K][Epoch 83/100] train loss=0.0524, val PSNR=24.17 dB
 [DIV2K][Epoch 84/100] train loss=0.0524, val PSNR=24.19 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 85/100] train loss=0.0523, val PSNR=24.19 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 86/100] train loss=0.0523, val PSNR=24.18 dB
 [DIV2K][Epoch 87/100] train loss=0.0523, val PSNR=24.19 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 88/100] train loss=0.0523, val PSNR=24.19 dB
 
[DIV2K][Epoch 89/100] train loss=0.0523, val PSNR=24.19 dB
 
[DIV2K][Epoch 90/100] train loss=0.0522, val PSNR=24.19 dB
 [DIV2K][Epoch 91/100] train loss=0.0522, val PSNR=24.20 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 
[DIV2K][Epoch 92/100] train loss=0.0523, val PSNR=24.20 dB
  
[DIV2K][Epoch 93/100] train loss=0.0523, val PSNR=24.20 dB
  [DIV2K][Epoch 94/100] train loss=0.0523, val PSNR=24.20 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  [DIV2K][Epoch 95/100] train loss=0.0522, val PSNR=24.20 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
 [DIV2K][Epoch 96/100] train loss=0.0522, val PSNR=24.20 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  
[DIV2K][Epoch 97/100] train loss=0.0523, val PSNR=24.19 dB
  [DIV2K][Epoch 98/100] train loss=0.0522, val PSNR=24.20 dB
  -> saved new best checkpoint to /data/oe23/BayesCap/ckpt/srgan_DIV2K.pth
  
[DIV2K][Epoch 99/100] train loss=0.0523, val PSNR=24.19 dB
  [DIV2K][Epoch 100/100] train loss=0.0522, val PSNR=24.20 dB
